loser_age,loser_hand,loser_ioc,loser_rank,loser_rank_points,surface,tourney_level,winner_age,winner_hand,winner_ioc,winner_rank,winner_rank_points,year,games,id
25.18548939,R,ITA,63,548,Clay,G,28.15331964,R,FRA,11,1869,2000,2,204
18.6201232,R,RUS,26,995,Clay,G,17.04859685,R,FRA,351,44,2000,1,206
24.09582478,R,CAN,86,365,Clay,G,28.44626968,R,ESP,9,1874,2000,3,208
23.16769336,R,PUR,37,814,Clay,G,21.24572211,L,ESP,46,668,2000,3,209
19.21423682,R,SLO,90,347,Clay,G,22.11088296,R,ITA,101,294,2000,2,210
26.51608487,R,FRA,185,130,Clay,G,24.21902806,R,AUT,17,1405,2000,2,211
23.01437372,R,THA,56,615,Clay,G,19.94798084,R,USA,4,2577,2000,2,215
19.07186858,R,FRA,197,119,Clay,G,28.08761123,R,ITA,51,631,2000,3,217
23.92334018,R,CZE,68,509,Clay,G,24.90075291,R,JPN,21,1238,2000,2,218
18.97604381,R,RUS,15,1592,Clay,G,22.85831622,R,AUT,35,853,2000,3,219
26.4312115,L,ESP,31,885,Clay,G,28.60232717,R,RSA,10,1871,2000,2,220
24.61601643,R,LUX,38,802,Clay,G,20.84873374,L,FRA,28,949,2000,3,222
26.99520876,R,BEL,22,1212,Clay,G,17.36618754,R,ESP,108,278,2000,3,223
22.91307324,R,ITA,50,645,Clay,G,19.6605065,R,SUI,1,5982,2000,2,224
21.3908282,R,COL,34,858,Clay,G,29.11978097,R,BLR,40,765,2000,4,226
32.61601643,R,FRA,6,2545,Clay,G,24.27652293,R,USA,25,1041,2000,2,227
22.28884326,L,HUN,58,606,Clay,G,26.48870637,L,USA,3,2691,2000,2,228
24.88980151,R,CZE,43,713,Clay,G,20.90075291,R,FRA,14,1686,2000,2,229
21.24572211,L,ESP,46,668,Clay,G,28.44626968,R,ESP,9,1874,2000,2,232
22.11088296,R,ITA,101,294,Clay,G,24.21902806,R,AUT,17,1405,2000,2,233
21.51676934,R,POL,118,256,Clay,G,25.48391513,R,GER,12,1789,2000,2,234
20.97193703,L,FRA,158,161,Clay,G,19.94798084,R,USA,4,2577,2000,2,235
28.08761123,R,ITA,51,631,Clay,G,28.11772758,R,ESP,5,2573,2000,2,236
22.85831622,R,AUT,35,853,Clay,G,24.90075291,R,JPN,21,1238,2000,2,237
28.60232717,R,RSA,10,1871,Clay,G,24.7008898,R,PAR,151,172,2000,3,238
20.84873374,L,FRA,28,949,Clay,G,17.36618754,R,ESP,108,278,2000,2,239
27.59479808,R,ROU,32,877,Clay,G,19.6605065,R,SUI,1,5982,2000,3,240
29.11978097,R,BLR,40,765,Clay,G,24.27652293,R,USA,25,1041,2000,2,241
